id_date,date,day,month,year,day_of_week,day_name,month_name,quarter,weekday_indicator,week_of_year,is_end_of_month,is_end_of_quarter,is_end_of_year,quarter_name,year_month,quarter_year,holiday_indicator
20250413,2025-04-13,13,4,2025,7,Domingo,Abril,2,Fin de Semana,15,False,False,False,T2,2025-04,T2 2025,No Festivo
20250414,2025-04-14,14,4,2025,1,Lunes,Abril,2,Entre Semana,16,False,False,False,T2,2025-04,T2 2025,No Festivo
20250415,2025-04-15,15,4,2025,2,Martes,Abril,2,Entre Semana,16,False,False,False,T2,2025-04,T2 2025,No Festivo
20250416,2025-04-16,16,4,2025,3,Miércoles,Abril,2,Entre Semana,16,False,False,False,T2,2025-04,T2 2025,No Festivo
20250417,2025-04-17,17,4,2025,4,Jueves,Abril,2,Entre Semana,16,False,False,False,T2,2025-04,T2 2025,No Festivo
20250418,2025-04-18,18,4,2025,5,Viernes,Abril,2,Entre Semana,16,False,False,False,T2,2025-04,T2 2025,No Festivo
20250419,2025-04-19,19,4,2025,6,Sábado,Abril,2,Fin de Semana,16,False,False,False,T2,2025-04,T2 2025,No Festivo
20250420,2025-04-20,20,4,2025,7,Domingo,Abril,2,Fin de Semana,16,False,False,False,T2,2025-04,T2 2025,No Festivo
20250421,2025-04-21,21,4,2025,1,Lunes,Abril,2,Entre Semana,17,False,False,False,T2,2025-04,T2 2025,No Festivo
20250422,2025-04-22,22,4,2025,2,Martes,Abril,2,Entre Semana,17,False,False,False,T2,2025-04,T2 2025,No Festivo
20250423,2025-04-23,23,4,2025,3,Miércoles,Abril,2,Entre Semana,17,False,False,False,T2,2025-04,T2 2025,No Festivo
20250424,2025-04-24,24,4,2025,4,Jueves,Abril,2,Entre Semana,17,False,False,False,T2,2025-04,T2 2025,No Festivo
20250425,2025-04-25,25,4,2025,5,Viernes,Abril,2,Entre Semana,17,False,False,False,T2,2025-04,T2 2025,No Festivo
20250426,2025-04-26,26,4,2025,6,Sábado,Abril,2,Fin de Semana,17,False,False,False,T2,2025-04,T2 2025,No Festivo
20250427,2025-04-27,27,4,2025,7,Domingo,Abril,2,Fin de Semana,17,False,False,False,T2,2025-04,T2 2025,No Festivo
20250428,2025-04-28,28,4,2025,1,Lunes,Abril,2,Entre Semana,18,False,False,False,T2,2025-04,T2 2025,No Festivo
20250429,2025-04-29,29,4,2025,2,Martes,Abril,2,Entre Semana,18,False,False,False,T2,2025-04,T2 2025,No Festivo
20250430,2025-04-30,30,4,2025,3,Miércoles,Abril,2,Entre Semana,18,True,False,False,T2,2025-04,T2 2025,No Festivo
20250501,2025-05-01,1,5,2025,4,Jueves,Mayo,2,Entre Semana,18,False,False,False,T2,2025-05,T2 2025,Festivo
20250502,2025-05-02,2,5,2025,5,Viernes,Mayo,2,Entre Semana,18,False,False,False,T2,2025-05,T2 2025,No Festivo
20250503,2025-05-03,3,5,2025,6,Sábado,Mayo,2,Fin de Semana,18,False,False,False,T2,2025-05,T2 2025,No Festivo
20250504,2025-05-04,4,5,2025,7,Domingo,Mayo,2,Fin de Semana,18,False,False,False,T2,2025-05,T2 2025,No Festivo
20250505,2025-05-05,5,5,2025,1,Lunes,Mayo,2,Entre Semana,19,False,False,False,T2,2025-05,T2 2025,No Festivo
20250506,2025-05-06,6,5,2025,2,Martes,Mayo,2,Entre Semana,19,False,False,False,T2,2025-05,T2 2025,No Festivo
20250507,2025-05-07,7,5,2025,3,Miércoles,Mayo,2,Entre Semana,19,False,False,False,T2,2025-05,T2 2025,No Festivo
20250508,2025-05-08,8,5,2025,4,Jueves,Mayo,2,Entre Semana,19,False,False,False,T2,2025-05,T2 2025,No Festivo
20250509,2025-05-09,9,5,2025,5,Viernes,Mayo,2,Entre Semana,19,False,False,False,T2,2025-05,T2 2025,No Festivo
20250510,2025-05-10,10,5,2025,6,Sábado,Mayo,2,Fin de Semana,19,False,False,False,T2,2025-05,T2 2025,No Festivo
20250511,2025-05-11,11,5,2025,7,Domingo,Mayo,2,Fin de Semana,19,False,False,False,T2,2025-05,T2 2025,No Festivo
20250512,2025-05-12,12,5,2025,1,Lunes,Mayo,2,Entre Semana,20,False,False,False,T2,2025-05,T2 2025,No Festivo
20250513,2025-05-13,13,5,2025,2,Martes,Mayo,2,Entre Semana,20,False,False,False,T2,2025-05,T2 2025,No Festivo
20250514,2025-05-14,14,5,2025,3,Miércoles,Mayo,2,Entre Semana,20,False,False,False,T2,2025-05,T2 2025,No Festivo
20250515,2025-05-15,15,5,2025,4,Jueves,Mayo,2,Entre Semana,20,False,False,False,T2,2025-05,T2 2025,No Festivo
20250516,2025-05-16,16,5,2025,5,Viernes,Mayo,2,Entre Semana,20,False,False,False,T2,2025-05,T2 2025,No Festivo
20250517,2025-05-17,17,5,2025,6,Sábado,Mayo,2,Fin de Semana,20,False,False,False,T2,2025-05,T2 2025,No Festivo
20250518,2025-05-18,18,5,2025,7,Domingo,Mayo,2,Fin de Semana,20,False,False,False,T2,2025-05,T2 2025,No Festivo
20250519,2025-05-19,19,5,2025,1,Lunes,Mayo,2,Entre Semana,21,False,False,False,T2,2025-05,T2 2025,No Festivo
20250520,2025-05-20,20,5,2025,2,Martes,Mayo,2,Entre Semana,21,False,False,False,T2,2025-05,T2 2025,No Festivo
20250521,2025-05-21,21,5,2025,3,Miércoles,Mayo,2,Entre Semana,21,False,False,False,T2,2025-05,T2 2025,No Festivo
20250522,2025-05-22,22,5,2025,4,Jueves,Mayo,2,Entre Semana,21,False,False,False,T2,2025-05,T2 2025,No Festivo
20250523,2025-05-23,23,5,2025,5,Viernes,Mayo,2,Entre Semana,21,False,False,False,T2,2025-05,T2 2025,No Festivo
20250524,2025-05-24,24,5,2025,6,Sábado,Mayo,2,Fin de Semana,21,False,False,False,T2,2025-05,T2 2025,No Festivo
20250525,2025-05-25,25,5,2025,7,Domingo,Mayo,2,Fin de Semana,21,False,False,False,T2,2025-05,T2 2025,No Festivo
20250526,2025-05-26,26,5,2025,1,Lunes,Mayo,2,Entre Semana,22,False,False,False,T2,2025-05,T2 2025,No Festivo
20250527,2025-05-27,27,5,2025,2,Martes,Mayo,2,Entre Semana,22,False,False,False,T2,2025-05,T2 2025,No Festivo
20250528,2025-05-28,28,5,2025,3,Miércoles,Mayo,2,Entre Semana,22,False,False,False,T2,2025-05,T2 2025,No Festivo
20250529,2025-05-29,29,5,2025,4,Jueves,Mayo,2,Entre Semana,22,False,False,False,T2,2025-05,T2 2025,No Festivo
20250530,2025-05-30,30,5,2025,5,Viernes,Mayo,2,Entre Semana,22,False,False,False,T2,2025-05,T2 2025,No Festivo
20250531,2025-05-31,31,5,2025,6,Sábado,Mayo,2,Fin de Semana,22,True,False,False,T2,2025-05,T2 2025,No Festivo
20250601,2025-06-01,1,6,2025,7,Domingo,Junio,2,Fin de Semana,22,False,False,False,T2,2025-06,T2 2025,No Festivo
20250602,2025-06-02,2,6,2025,1,Lunes,Junio,2,Entre Semana,23,False,False,False,T2,2025-06,T2 2025,No Festivo
20250603,2025-06-03,3,6,2025,2,Martes,Junio,2,Entre Semana,23,False,False,False,T2,2025-06,T2 2025,No Festivo
20250604,2025-06-04,4,6,2025,3,Miércoles,Junio,2,Entre Semana,23,False,False,False,T2,2025-06,T2 2025,No Festivo
20250605,2025-06-05,5,6,2025,4,Jueves,Junio,2,Entre Semana,23,False,False,False,T2,2025-06,T2 2025,No Festivo
20250606,2025-06-06,6,6,2025,5,Viernes,Junio,2,Entre Semana,23,False,False,False,T2,2025-06,T2 2025,No Festivo
20250607,2025-06-07,7,6,2025,6,Sábado,Junio,2,Fin de Semana,23,False,False,False,T2,2025-06,T2 2025,No Festivo
20250608,2025-06-08,8,6,2025,7,Domingo,Junio,2,Fin de Semana,23,False,False,False,T2,2025-06,T2 2025,No Festivo
20250609,2025-06-09,9,6,2025,1,Lunes,Junio,2,Entre Semana,24,False,False,False,T2,2025-06,T2 2025,No Festivo
20250610,2025-06-10,10,6,2025,2,Martes,Junio,2,Entre Semana,24,False,False,False,T2,2025-06,T2 2025,No Festivo
20250611,2025-06-11,11,6,2025,3,Miércoles,Junio,2,Entre Semana,24,False,False,False,T2,2025-06,T2 2025,No Festivo
20250612,2025-06-12,12,6,2025,4,Jueves,Junio,2,Entre Semana,24,False,False,False,T2,2025-06,T2 2025,No Festivo
20250613,2025-06-13,13,6,2025,5,Viernes,Junio,2,Entre Semana,24,False,False,False,T2,2025-06,T2 2025,No Festivo
20250614,2025-06-14,14,6,2025,6,Sábado,Junio,2,Fin de Semana,24,False,False,False,T2,2025-06,T2 2025,No Festivo
20250615,2025-06-15,15,6,2025,7,Domingo,Junio,2,Fin de Semana,24,False,False,False,T2,2025-06,T2 2025,No Festivo
20250616,2025-06-16,16,6,2025,1,Lunes,Junio,2,Entre Semana,25,False,False,False,T2,2025-06,T2 2025,No Festivo
20250617,2025-06-17,17,6,2025,2,Martes,Junio,2,Entre Semana,25,False,False,False,T2,2025-06,T2 2025,No Festivo
20250618,2025-06-18,18,6,2025,3,Miércoles,Junio,2,Entre Semana,25,False,False,False,T2,2025-06,T2 2025,No Festivo
20250619,2025-06-19,19,6,2025,4,Jueves,Junio,2,Entre Semana,25,False,False,False,T2,2025-06,T2 2025,No Festivo
20250620,2025-06-20,20,6,2025,5,Viernes,Junio,2,Entre Semana,25,False,False,False,T2,2025-06,T2 2025,No Festivo
20250621,2025-06-21,21,6,2025,6,Sábado,Junio,2,Fin de Semana,25,False,False,False,T2,2025-06,T2 2025,No Festivo
20250622,2025-06-22,22,6,2025,7,Domingo,Junio,2,Fin de Semana,25,False,False,False,T2,2025-06,T2 2025,No Festivo
20250623,2025-06-23,23,6,2025,1,Lunes,Junio,2,Entre Semana,26,False,False,False,T2,2025-06,T2 2025,No Festivo
20250624,2025-06-24,24,6,2025,2,Martes,Junio,2,Entre Semana,26,False,False,False,T2,2025-06,T2 2025,No Festivo
20250625,2025-06-25,25,6,2025,3,Miércoles,Junio,2,Entre Semana,26,False,False,False,T2,2025-06,T2 2025,No Festivo
20250626,2025-06-26,26,6,2025,4,Jueves,Junio,2,Entre Semana,26,False,False,False,T2,2025-06,T2 2025,No Festivo
20250627,2025-06-27,27,6,2025,5,Viernes,Junio,2,Entre Semana,26,False,False,False,T2,2025-06,T2 2025,No Festivo
20250628,2025-06-28,28,6,2025,6,Sábado,Junio,2,Fin de Semana,26,False,False,False,T2,2025-06,T2 2025,No Festivo
20250629,2025-06-29,29,6,2025,7,Domingo,Junio,2,Fin de Semana,26,False,False,False,T2,2025-06,T2 2025,No Festivo
20250630,2025-06-30,30,6,2025,1,Lunes,Junio,2,Entre Semana,27,True,True,False,T2,2025-06,T2 2025,No Festivo
20250701,2025-07-01,1,7,2025,2,Martes,Julio,3,Entre Semana,27,False,False,False,T3,2025-07,T3 2025,No Festivo
